Actual AQI,AQI predicted
297.0,295.21898501370515
605.0,545.0792325584465
691.0,648.3952501418344
971.0,1931.5116185613217
270.0,253.65053659953173
188.0,166.6251373448245
114.0,150.24094201889142
143.0,127.1918505350165
557.0,639.9253404743583
536.0,659.8893445287912
354.0,756.7497539680489
381.0,408.65314012176555
355.0,302.6208095493878
272.0,186.12460767959755
253.0,208.57741700791408
256.0,187.47027390864335
257.0,171.03052951894006
213.0,155.0739545871201
218.0,166.42061420922536
214.0,173.81561649978192
207.0,185.62563524787072
169.0,169.7926869897934
1842.0,630.9459669138645
72.0,118.38339255655751
91.0,156.33122190878876
124.0,166.0286894455938
145.0,153.55101555302508
499.0,1230.2859393874476
557.0,112.13556505986159
114.0,118.96458529765614
148.0,123.14279199663174
99.0,115.95258183899533
117.0,176.20025859307353
275.0,212.02038038673072
183.0,147.99356158667558
336.0,298.8417195217054
468.0,381.17974633039455
776.0,1060.7181699239961
805.0,1037.1530858929448
705.0,896.7010660877291
740.0,966.3997062404901
751.0,1007.3329047383498
798.0,1093.1493222834629
494.0,219.06690409749035
234.0,142.72047805660404
327.0,265.45066478000865
257.0,166.83759391453367
300.0,182.01732034001083
309.0,193.58329374952956
316.0,228.3540676374454
296.0,213.07946925822156
240.0,237.33422280372798
220.0,205.2900057894886
460.0,424.2977653134344
341.0,171.81602778568725
216.0,160.03166449387092
174.0,147.811126247096
252.0,240.81109054196727
283.0,222.71662912218179
282.0,225.9686153475919
189.0,168.93883834042276
204.0,184.4763644428054
207.0,186.3282908005164
218.0,197.32164579682492
243.0,236.89485473496168
219.0,206.89546696846182
247.0,228.30928787004683
235.0,214.01738201430382
234.0,213.50521771167607
217.0,185.70027203036582
222.0,210.12755145688226
241.0,190.95217701793464
225.0,194.87712104230738
241.0,197.79644203085235
237.0,199.0993727395839
251.0,225.22344716673092
220.0,200.72129964293995
221.0,200.50235079752096
226.0,187.5621833607418
208.0,146.0006232616321
190.0,183.52166181381318
250.0,204.2105821343281
280.0,239.99579709204738
306.0,269.4921664442827
249.0,226.97678614301552
213.0,214.90531858870327
135.0,431.31695013885883
268.0,231.8817700518975
267.0,223.6904507066436
216.0,187.3133064884244
212.0,193.77876147625253
214.0,190.36698758294187
222.0,178.1378128763045
216.0,208.85606220831684
236.0,212.47158698808968
225.0,204.8485651969064
231.0,209.11547645052244
298.0,217.76949567572632
267.0,269.4627169432133
236.0,431.31695013885883
301.0,298.3880330269475
311.0,302.3111066449816
313.0,338.8553641931844
267.0,275.2076169421058
232.0,252.04808243939902
229.0,224.44933247998614
